raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"i would like twenty thousand rupees from myself,i would like 20000 rupees from myself","i would like rs20000 from myself,i would like 20000 rupees from myself","i would like twenty thousand rupees from myself,i would like 20000 rupees from myself",i would like twenty thousand rupees from myself,i would like 20000 rupees from myself,i would like 20000 rupees from myself,i would like rs20000 from myself,i would like 20000 rupees from myself,i would like 20000 rupees from myself,i would like twenty thousand rupees from myself,i would like 20000 rupees from myself,i would like 20000 rupees from myself
"how much do i have in my bank,how much do i have in my bank","how much do i have in my bank,how much do i have in my bank","how much do i have in my bank,how much do i have in my bank",how much do i have in my bank,how much do they do i have in my bank,how much do they do i have in my bank,how much do i have in my bank,how much do they do i have in my bank,how much do they do i have in my bank,how much do i have in my bank,how much do they do i have in my bank,how much do they do i have in my bank
"transfer two hundred rupees to vijay,transfer 200 rupees to vijay","transfer rs200 to vijay,transfer 200 rupees to vijay","transfer 200 rupees to vijay,transfer 200 rupees to vijay",transfer two hundred rupees to vja,transfer 200 rupees to vijaya,transfer 200 rupees to vijaya,transfer rs200 to vja,transfer 200 rupees to vijaya,transfer 200 rupees to vijaya,transfer 200 rupees to vja,transfer 200 rupees to vijaya,transfer 200 rupees to vijaya
"i want to see balance,i want to see balance","i want to see balance,i want to see balance","i want to see balance,i want to see balance",i want to see balance,i want to see balance,i want to see balance,i want to see balance,i want to see balance,i want to see balance,i want to see balance,i want to see balance,i want to see balance
"i would like to see my balance,i would like to see my balance","i would like to see my balance,i would like to see my balance","i would like to see my balance,i would like to see my balance",i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance,i would like to see my balance
"show me my account balance as of today,show me my account balance as of today","show me my account balance as of today,show me my account balance as of today","show me my account balance as of today,show me my account balance as of today",show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today,show me my account balance as of today
"pay my life insurance bill,pay my life insurance bill","pay my life insurance bill,pay my life insurance bill","pay my life insurance bill,pay my life insurance bill",pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill,pay my life insurance bill
"arya,arya","arya,arya","arya,arya",aya,arya,arya,aya,arya,arya,aya,arya,arya
"i want some great offers,i want some great offers","i want some great offers,i want some great offers","i want some great offers,i want some great offers",now want some great offers,i want some great offers,i want some great offers,now want some great offers,i want some great offers,i want some great offers,now want some great offers,i want some great offers,i want some great offers
"can you please pay the electricity bill,can you please pay the electricity bill","can you please pay the electricity bill,can you please pay the electricity bill","can you please pay the electricity bill,can you please pay the electricity bill",can you please pay the electricity bill,can you please pay electricity bill,can you please pay electricity bill,can you please pay the electricity bill,can you please pay electricity bill,can you please pay electricity bill,can you please pay the electricity bill,can you please pay electricity bill,can you please pay electricity bill
"ten thousand,10000","10000,10000","10000,10000",ten thousand,10000,10000,10000,10000,10000,10000,10000,10000
"view my balance,view my balance","view my balance,view my balance","view my balance,view my balance",view my balance,view my balance,view my balance,view my balance,view my balance,view my balance,view my balance,view my balance,view my balance
"show me all the transaction of today,show me all the transaction of today","show me all the transaction of today,show me all the transaction of today","show me all the transaction of today,show me all the transaction of today",show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today,show me all the transaction of today
"i want to scan and pay fifteen hundred rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop","i want to scan and pay rs1500 to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop","i want to scan and pay 1500 rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop",i want to scan and payive rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop,i want to scan and payive rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop,i want to scan and payive rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop,i want to scan and pay 1500 rupees to the hardware shop
"scan and send three thousand five sixty five rupees,scan and send 3560 five rupees","scan and send 3005 rs65,scan and send 3560 rs5","scan and send 3565 rupees,scan and send 3565 rupees",s caanon send threeusand five hundred and sixty five rupees,scan and send 3005 65 rupees,scan and send 3005 65 rupees,s caanon send threeusand rs565,scan and send 3005 65 rupees,scan and send 3005 65 rupees,s caanon send threeusand 565 rupees,scan and send 3070 rupees,scan and send 3070 rupees
"why,why","why,why","why,why",,why,why,,why,why,,why,why
"donate hariharan foundation with hundred rupees,donate hariharan foundation with 100 rupees","donate hariharan foundation with hundred rupees,donate hariharan foundation with 100 rupees","donate hariharan foundation with 100 rupees,donate hariharan foundation with 100 rupees",donate hergaran foundation with one hundred rupees,donate hariharan foundation with hundred rupees,donate hariharan foundation with hundred rupees,donate hergaran foundation with rs100,donate hariharan foundation with hundred rupees,donate hariharan foundation with hundred rupees,donate hergaran foundation with 100 rupees,donate hariharan foundation with 100 rupees,donate hariharan foundation with 100 rupees
"send money two thousand rupees to papa,send money 2000 rupees to papa","send money rs2000 to papa,send money 2000 rupees to papa","send money 2000 rupees to papa,send money 2000 rupees to papa",send money two thousand rupees to papa,send money 2000 rupees to papa,send money 2000 rupees to papa,send money rs2000 to papa,send money 2000 rupees to papa,send money 2000 rupees to papa,send money 2000 rupees to papa,send money 2000 rupees to papa,send money 2000 rupees to papa
"ask vijetha to pay me thousand rupees,ask vijetha to pay me 1000 rupees","ask vijetha to pay me thousand rupees,ask vijetha to pay me 1000 rupees","ask vijetha to pay me 1000 rupees,ask vijetha to pay me 1000 rupees",ask vijaytha to pay me thousand rupees,ask vijayada to pay me thousand rupees,ask vijayada to pay me thousand rupees,ask vijaytha to pay me thousand rupees,ask vijayada to pay me thousand rupees,ask vijayada to pay me thousand rupees,ask vijaytha to pay me 1000 rupees,ask vijayada to pay me 1000 rupees,ask vijayada to pay me 1000 rupees
"send hundred rupees to madhuri,send 100 rupees to madhuri","send hundred rupees to madhuri,send 100 rupees to madhuri","send 100 rupees to madhuri,send 100 rupees to madhuri",send hundred rupees to maduri,send hundred rupees to madhuri,send hundred rupees to madhuri,send hundred rupees to maduri,send hundred rupees to madhuri,send hundred rupees to madhuri,send 100 rupees to maduri,send 100 rupees to madhuri,send 100 rupees to madhuri
